Media Outlet,Publication URL,Region,Estimated Traffic/Views/Clicks,Estimated Views,Estimated Clicks,Publication Date,Feed Name,Headline
Canada Newswire (CNW),https://news.google.com/rss/articles/CBMimgJBVV95cUxQQW1jeTgyaWFHQXVvRG5RcXVmSktNSEwyWjR1TUNaS050MXUtSEJQMWhtbDRKUDFYUkZXR3BkNktiLUszUWFTVzIyWTNxV0FLaWs1YXNHZGZYYncxcmlaVzFpWDhONWZtRTF0clNUblNJd19TMEZqVERxbEJkdVBmM2NzZDlKZUNVWTQ1dGJwZW1zSFlkRjVoYW85NHRyNnJ5VzJIM29PRkVQY0N1UVREZGNzU1lWVlVpVTdtMVRGZ0hob1BXOVMxdDJCMmFScDlxeVlHLXNTalMyQmZ6WVBnTXMzeWpVN09yb0VjZW1uWHhla005WmR1NUJWekwtQ1IzUUZUb2JvTnpkQVVka0dXbnZWN3dVNHcwWFE?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Canada,,,,2025-10-16T11:30:00,Canada Newswire (CNW),"BTQ Technologies Demonstrates Quantum-Safe Bitcoin Using NIST Standardized Post-Quantum Cryptography, Protecting $2+ Trillion Market at Risk - Newswire Canada"
Canada Newswire (CNW),https://news.google.com/rss/articles/CBMiwgFBVV95cUxQTWtabTlNUjEza3ZRXzFpdnBtUEtLYUtEY2czdXVkV3VNT1kwSGRBZGlZd0pqUkpWeGRLYkMzQUNZNnRsUHZlSzRyX0c1RjlvVUltenVTMkE0VVlsUldNdnJMVm4tdkp4MC1WQmNRWnFTc05qRmhBVEVlLW8xd0lTZ2NTVzZIeWpER0NlYjJvR0RuRW9NZlBncGFvZld5aVMwbDliNWY3R2xEdEdsODRGRTF6alBTX3M0azVpUG52MEpLdw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Canada,,,,2025-10-22T11:30:00,Canada Newswire (CNW),"Mercer Park Opportunities Corp. Announces Acquisition of Cube Group, Inc. - Newswire Canada"
Canada Newswire (CNW),https://news.google.com/rss/articles/CBMiswJBVV95cUxPaW1CTlNRelVxakpkWGg0cml5dTQzcV9KTlFwVVRoVjJVaGwxM2N2elVDZzhVNF9OY1NBNUVUTzNnamtZR2dubm9UOTVOUG9DMEtnNHhGNTBpR0JmZUwxbDJIcjVJUy1RZXFXdldRekVHRXBKb25NYmthMVdoVFEyeEx2OGJVYXJIeVBrYk15Y1ZGTHVMbC0wTWk5SEw2V0xzWjdaNVJ4UHliR2dLWEV1UlZNWXJPaS1oRjhWOF9IdGFoU2NOWWJ5a3IwMm1RdHliR25MTmJWRFFuTmxUU1VYenNvMi1DTTVGZzdqN255ZUVncFhoOHRsTDFxaHlDWFF5eWsxVmVURHpadGkyYUlqTmVYSWNSQW41VS1vRGRKWDJnVU04dlR3aFVWSnRqY3phemtB?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Canada,,,,2025-10-09T07:00:00,Canada Newswire (CNW),INTEGRA ANNOUNCES RESULTS FROM NEAR-MINE OXIDE GOLD DRILLING AT FLORIDA CANYON; INITIAL DUMP VOLUME AND GRADE ESTIMATES UNDERSCORE NEAR-TERM GROWTH POTENTIAL - Newswire Canada
Canada Newswire (CNW),https://news.google.com/rss/articles/CBMisAFBVV95cUxOREMwMVRhQmlwZkJsdnRmaGRZckVWdDFkY2xpQkdySHVnS19rMXBpY0xKWW5jc180bFB2bFJYYW5yV3B6cXJ2UUJlRHBoOUNHQ3hwZEhSQzU1UndnM1BNSk1YWVRMbVhPWmZuSFliQlV2bE90Zkk4eGYtSWlnWU9UQVZYaHItaDNRUVJRUmhEd2Q4bFBlbE84WThNZEFDY0txbkh5Vm5NOUk3M2JZb1Nkag?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Canada,,,,2025-10-07T07:00:00,Canada Newswire (CNW),IKEA Canada to close IKEA Scarborough Town Centre location - Newswire Canada
Canada Newswire (CNW),https://news.google.com/rss/articles/CBMizgFBVV95cUxQRVFDMkNmNU9qc1pZX3hWTGNDUTV6d01TaFlqbWhBUEVFRmJzM1ZySF8zLW1Qc19TSG5zVFB3WjJHNEQ1VFNJR0o2eE83QVhYYjhTNW40c0E3SkNoeDFlSzdhaS1UbzdXVEd0UUxPYzE1RjNnUmxMcm52UW9Cb2VUekN3YUNFakdjMEJMb1U2RVZFMXl4bFY1MUMzV0NDNkxQRXMyZDRvZWVhM1hKNzI5LThSYUpmUkFEd3pQSUYwUDJmS3lvRW5ZeXlfZElwZw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Canada,,,,2025-10-20T16:00:00,Canada Newswire (CNW),"Ontario Nurses Call ""Code Black and Blue"" on Workplace Violence in New Ad Campaign - Newswire Canada"
Canada Newswire (CNW),https://news.google.com/rss/articles/CBMi_AFBVV95cUxQdWNDQWJjSkN2dXkxQ2hMRjhlVHBXejdFZVJEMHJReklhSmxpamdYclVfQmZQOTJ1ZFN3VXQ0WjlqTHFkVE9iMF9HdWhMZXJ5QWJiTk1WYUtTOG5PWW1LcU84VEFudld0T1k3cy1hUmFRSEZJUGpoc0J3N3d5VWVpaUpxbGFzNC03Wnd4MVZnR3EwdGxuR1FERGduZ0kzRUtoZElfQms0alhHLWtNdHY0WmlVeDRZRjFkMFVtOEhoN2xaSlRwQldsbVN3Z2M1WjlDRGY3bk9sVE5rclBDNWVfVGxxV1FKajFlZUlDaENJYS1ZanlubWROZDlyUUE?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Canada,,,,2025-10-21T13:00:00,Canada Newswire (CNW),UCB Expands FASTRAX Canada to Thunder Bay to Enhance Axial Spondyloarthritis (axSpA) Patient Care in Northern Ontario - Newswire Canada
Canada Newswire (CNW),https://news.google.com/rss/articles/CBMi7wFBVV95cUxNbnlJWmp6UVVZc0ljekV1Z3JCbERTSTc4OFI3b184dVNVN2M1eGQ4UUo3N0wyOTEwdnhPdUlkWGQ1UmxkLXhZWUxkVXEzWGhtRHBZeDFqcDNxcC1Ca0Z6YW1PcUpXY3R5VWQ2YlhGRFlsQjRhaFN3emNBb3d6MFoyd2N6cEhsN2hrNzhsVjFqdnNxYlhGc0FpQ3UyalVITnFITG9YWTJ2c0N5cjVPNjBrdmRPaG1DU0dHZ3hXUk9FZkhNUWhMRVZtZFJ2bVhoVXJYQkVWUW5hd094X04tNEM0eW5pZkVkSHdqX1NsWGFVUQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Canada,,,,2025-10-21T13:00:00,Canada Newswire (CNW),Wild animal vaccination operation in Estrie: The Ministère takes action to combat raccoon rabies in Québec - Newswire Canada
Canada Newswire (CNW),https://news.google.com/rss/articles/CBMi7wFBVV95cUxQTVlQbk9IUk1jNGkwSmtIS0IyYXNxZFo4NXBpZjlmaXpLN3RENW1xSG9JcmtNaFcyQVdkSW1lLXhFYVo4dkZFSXRIaE5XaDA3ZV9LWWhidHlxNElCLU5ObThEMkk2RUtvZzRGS0RzcGFFUVZMTTZpM0VHUk8zMkRONlNSMGpidGNJd0VRMndsNnd4UUZfd2kzU1N0TkJVQkRmWUdTMVlhejNpbkNZWEdwLVdHVTNONGNFSGlKY1g3NVhBQTJWVG9GdnQ4cDVFYkdNbC1KMGZWV0lmRTQ1aTR6VGQwaTVWUmJlazhFY21GWQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Canada,,,,2025-10-22T12:10:00,Canada Newswire (CNW),Hazelview Properties Named Rental Housing Provider of the Year at 2025 Rental Housing Saskatchewan Awards - Newswire Canada
Canada Newswire (CNW),https://news.google.com/rss/articles/CBMiqAFBVV95cUxQNTBKclhVVXRMc0l3SVFlaWVmVEw0MzJiSWhpR0lldmh5WE91VXcyMWdyLVNyZ1NvczdkMElFdW8yaDU2UEVWemlvQUVCbWtPRU95b05hY3FzbWFNZ1l1d3c2N20weDhzNWgyWFhKazBScEgzSUxhc2luN1BfRWZkbVEzOFBmaTBORURMSDFfNkpHQ1RDdVc2MW1TQ2pXcWQzSGZ2VEx0ckY?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Canada,,,,2025-10-21T20:58:00,Canada Newswire (CNW),CYMAT PROVIDES UPDATE ON PRIVATE PLACEMENT FINANCING - Newswire Canada
Canada Newswire (CNW),https://news.google.com/rss/articles/CBMihwJBVV95cUxNc2x6NUpkdS1mLW9iX0o4ZC1hN1V2WXhfckVyQUZFZ2RnWlktaVRpY0lHZ1RoQ1FqODNzRURaNkRPN2VLRS15RE1JZlRjcnBKTG1URVhRUW5jdTA2YUx0anZPWUNTQk1hNGprQmQ3QTVnVWY2bVpHMVlQVVBpSFZ6bjg4UjQzUXA2bE0wQml5MnhwaFJ1Vnl1a1kxdTVVbHhlbXdEcjNSb0tBRGNZWFdPY1BtdllHZUpnbUMyeFpNdnR2MnJ2R2pBSVJGR2Y3S29yWEx4MVRIYTBFUEMzendxMUdmZmtLWWNHRnZydndzeUxGUU5uOUhoMkU1cXBjTFpabEZHLXBvQQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Canada,,,,2025-10-17T22:11:00,Canada Newswire (CNW),768114 N.B. Inc. and Brust Beverage Company Ltd. Announce Satisfaction of Conditions and Mandatory Extension of Deposit Period - Newswire Canada
Canada Newswire (CNW),https://news.google.com/rss/articles/CBMi2AFBVV95cUxQWHpMYlZiSVdDV1FOZGVXeUFOOWlZOUt0M21HeVdFUGFkQ2x6TnFhQmc2QkJWOXFmdUZZbjFOZE1KektVQ0lySWd1YnBpZVJoS0hjQnFzeUllUlJnenljQTZoRjVvSnF3TDhtZXNYNEM1TGwyaXB4VXljYWprdXlQUUR3SHlPdnRaVktnYks5OW0xOXpvOExQLXoyU09OZDM2WmRta3dxNVRjN2VxbjhaZXV4T2VZZ3lTTE9ZVkJkRTZZU3p3azJTY1Z6b1ZraUotN3RVdmF0Xzg?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Canada,,,,2025-10-10T04:53:00,Canada Newswire (CNW),Fortune Global 500 Steelmaker Shagang Group Celebrates 50 Years of Growth and Innovation - Newswire Canada
Canada Newswire (CNW),https://news.google.com/rss/articles/CBMipAJBVV95cUxQVE5TX2E4R0dwbEFKdmVrWm42SS1vQXJzZTNZNzFMUXJKYW1CV0NaRGV5ODNtNks5c214d2xwS0l4VFF6dkNEZXd4bzc4UjVSNzVUeDg5SW9TamoyZmJ0OWZid082Mjc1TXRoNGZBdnVzbFpVeUM1TktfQTBpTzE5OGFJQUN1MzRaRms5Y2huSkNUN29QVlBQQjNxQllvXzFjeENkb2I3azl4cHBkdTV2Q1FlcWYxTE1kZ2t2UnMzVVZiS1BPb1Nla0xPWFY4NFNpZmdkc2dWaTRFNFkwdGpyVWF4MFNmZzdsVk9jWkdfNmRHMXhoY2hNWmphRDNBX3JGRkZTSVEwZDVBMTZWcThSbkJqSXNvc1ZidGlFVVB3RG92UXdZ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Canada,,,,2025-10-20T14:00:00,Canada Newswire (CNW),"Wellington-Altus announces nearly $400M strategic minority investment from leading private equity firm Kelso & Company, confirming $1.5B+ valuation - Newswire Canada"
