Media Outlet,Publication URL,Region,Estimated Traffic/Views/Clicks,Estimated Views,Estimated Clicks,Publication Date,Feed Name,Headline
PR Times,https://news.google.com/rss/articles/CBMiggFBVV95cUxNUjY2Q0lQUDEtM2VFcHkzY1BPOXlMT2hpNUJ1TjNBaFU3OHRTUkR5TUJUTUQzX3cyZGdBQk1WSUM2Sk5YamxUZ1ZxQlFwTHZzbDlJUkRjQndNNjZlZzloVUthVEZFMGlSTV9PYXRwZWRXUVpkemUycEpja0RhTzNaVU93?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Japan,,,,2022-10-03T07:00:00,PR Times,Zima and Blue Moon return to Japan - PR TIMES
PR Times,https://news.google.com/rss/articles/CBMiakFVX3lxTFBIT0tiakFLdUZ5UHZYQlQ0R285V09PTVlEUlBxMngtN3F5eFRwaGk0ejFPVTM3ZHZCck5rUzdYY25DSTZ5bEpWUWxMX0RIem9qVFlTZ2ZVeW5FTm5mZ3VtYTlXb3JmaGZkYnc?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Japan,,,,2025-08-12T07:00:00,PR Times,"Asu Capital Partners Launches Japan’s First Residency Program ""AG1"" Empowering Founders to Go Global - PR TIMES"
PR Times,https://news.google.com/rss/articles/CBMiakFVX3lxTE5GaWhyMVYzMzlwUzBIOHNuYTdFOXRCQnRvR3Q0c0hTRFc3Q3NTT2tOMlgzSlFzMmJ4U2Z2VldPVnJLVXFaLUQ2VVNNcENSTXV3ZjgyMWliYnZRYTVYQXplZVRPa1kyZDNleHc?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Japan,,,,2024-06-27T07:00:00,PR Times,The UAE Pavilion Announces Its Participation in Expo 2025 Osaka in Japan at Groundbreaking Ceremony - PR TIMES
PR Times,https://news.google.com/rss/articles/CBMiakFVX3lxTFBVaWVscmVPdXhmWkZVNUFXeDhCNE5ZdkRHcUVyREM5djd6b1A3NklpQnFXMlE5Y283UVFiOTFhMUVTMnFhLXhvSXVGRnpneEdlbE9WMGJVMGNWUktHQmJiMkVQV3lOeVcwQnc?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Japan,,,,2025-06-17T07:00:00,PR Times,"Our Billion Ventures Orchestrates Delisting of Lightworks, Accelerating Japan’s Workforce Upskilling - PR TIMES"
PR Times,https://news.google.com/rss/articles/CBMiakFVX3lxTE1NZXUxM0J3andjUUFYUndWdldfczl5WkJ5N29rbHp6R3AxWGZUcWpIM1lPSUJtSjJUNmFCUkNrcmFhSU1yck13ak9FSWZLM0hlNlNMNjJPQ0FTcVVZREhxcEFRYjB1UHlGaFE?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Japan,,,,2025-04-22T07:00:00,PR Times,Kikokushijo Academy and Global Step Academy Merge to Form a Leading International Education Group - PR TIMES
PR Times,https://news.google.com/rss/articles/CBMiakFVX3lxTFBJb0RfOUZFT0NBNWVKM1NZYWRWV2gzUl9rYnR5YWRmbXFjQkhvVTlaNm1WUm44ems1Ty1sdkR3aVVCOWlfQnAwLTNtMGMxSHlUcW1FWHFjeHJrZ3dsbHNQX3E5NWJGR2dvSFE?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Japan,,,,2021-12-24T08:00:00,PR Times,"Hiromi Tazaki Appointed as Chairman and Managing Director of JAC Recruitment Co., Ltd. - PR TIMES"
PR Times,https://news.google.com/rss/articles/CBMijgFBVV95cUxPczhuY1NVcnM2VXc1T0JNSm1TMENRaUotNUgwLUwxclpiTjQtOTdxSUZUNUVHVHVLcTlQZ1cxaHBWcW9mT1pVQzNfNUM3VzdpQmJCLU9MYS1sZGZjY3BzZFNKN21FdDJ6dnFOWEdnemFad2hsMDV4UDZmX3BpOG9XUk43M1J3OVE1V0k0cjFB?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Japan,,,,2024-07-10T07:00:00,PR Times,62 companies attracted into Fukuoka City! - PR TIMES
PR Times,https://news.google.com/rss/articles/CBMitgFBVV95cUxNbF9aQlhyaGhCd2RadktWTlNrVlUyNmNWRDE4Y0RUcWg0Nlk2UzNVZmd3a0pDM2g4T01aRkExTEdZNjNOMmNhNFlpWk02WTZzbUFGNm9ZUGZJcXpURllySU5mcVFUbkFLOHVwZWVwSjlSU2NSS1doUm9EaHdZeXE0ODBxaHVpMkFqZWJqX3kwbFZUVDVBMFB1YnV1ZlhqdkFSd19kejV6ZEtycEV2bGFOVDBmbWJ1dw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Japan,,,,2022-12-21T08:00:00,PR Times,Zero Downtime Migration from self-managed Elasticsearch to AWS OpenSearch at PR TIMES - PR TIMES
PR Times,https://news.google.com/rss/articles/CBMijgFBVV95cUxQRHdET1RwT1JxaHgtclNXM2ZvYmljLVFzT0d2Qk96Wk9DQUUyN0pYNzhldTJxc2lVREgtMXNaZS1qWXpMMnZvckpHZU1CcHp6bmMwWGpGajlCUktJQTU5ZHBQVjV2c2RjUlFiRFNBZ2NMOVZDRzZ5Ukd5cGxDOWJvcUxHWHJUdW0yTFlsbWpn?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Japan,,,,2025-10-14T05:24:37,PR Times,【収録曲】 DISC1 01.Sonic Racing - Cross the Worlds - 02.E-Stadium: Intro 03.E-Stadium 04.E-Stadium: Final Lap 05.E-Stadium - PR TIMES
PR Times,https://news.google.com/rss/articles/CBMijgFBVV95cUxOVHd6eHh5N0lEYXcxUlBTUm1LNWhqUTdMRF9PVDRlNlRRQlpRNW5EeUh5bWZ0OW5fUHpRTzRyblZ6anY0VzRpS3lOWTgyalhRb1hQZUFOeWFtU1JxZlhLNUtPSlFPQ0Z4bDUtcXIzMnZoWTJ4cEVfaERIRlVKQUtDcEwzVXZZeFNETURZV3p3?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Japan,,,,2025-10-21T08:26:26,PR Times,Untitled - PR TIMES
