Media Outlet,Publication URL,Region,Estimated Traffic/Views/Clicks,Estimated Views,Estimated Clicks,Publication Date,Feed Name,Headline
PTI PR Wire,https://news.google.com/rss/articles/CBMi1AFBVV95cUxORVB1ODhIS2g1aHMtaWNOTE9GYVAtZ1ktX0x1WE9KY1hFSmd2MjFRbF9nRHpSNVFITGpTWGZBSnJTTG51MjBPOFI4di1oWm1CcjgtdVZZUHhUU1hHUUxUQUljTTYxeVpWY2VGTnhRNVllM3lQbGQ3MkZnSmhWNXg4aDdnSGlZWndYQTdpYUVxUHhlZmJKMVF0SktIczF5dmtIeUtFWFZ2X0o5VWlrb3BOdWhDOG5LNWludUV1bnlpaU1XQ3ZBSW41OVFhZHJzYWJtTXlkTA?oc=5&hl=en-PK&gl=PK&ceid=PK:en,India,,,,2025-10-21T07:00:00,PTI PR Wire,"""Connect to Innovation"": UNISOC Uses Innovative Technology to Bring People Closer to the World - Press Trust of India"
PTI PR Wire,https://news.google.com/rss/articles/CBMi8gFBVV95cUxNREZVSk1EU3ZsclN4bkU5TUpMOGE4dm00aURyRzZia0VINWJwVnJOejZBMFdpY24wY3FsSDVtNlpCWWI3VE5JLTZhcll6RU9HMl9manpscUF0NGNQYU5QemJpcWs5UThyRWVIVFRjLWg3T0hzX1hsVTU0MTJFYU1tNG04YS0tU1NELUhmYlk2MDdhREtiekwwNjdzeGxVVElQRzRvd01WNG96bjQwNUlfUzNfakpzS2lnYWRSNkJoVUkwVXZubTBUZzZRUVY5VFZNNnU2YkJKckFWZGh4QzVsRDBMN0UxbkxMMnJmaEVFczl5dw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,India,,,,2025-09-26T07:00:00,PTI PR Wire,"JNH PRESS Holds Completion Ceremony for Second Plant, Accelerating Leadership in Global Innovative Press Technology - Press Trust of India"
PTI PR Wire,https://news.google.com/rss/articles/CBMitgFBVV95cUxPZEN0MHYxdUdCU19wdmJJLTlwTWFGcWYyaFY1d3A0WkNESUFZeDdmdlJlb0I2bm12QXBsUi03WGNpcXVDczdiWGVmSUx1RmZQa1UxSGo2SzlYekdMb1VMTjMzUGdQOHVHQ1RKS0VzTWdnREk5V0FyQXlqTDhTM1cxbV9sbHQxcmtzR2FfMDM5S3Y2eEdfVGxpOEd3d0dBOHlMQWE4Z3lrbjVQLTRuejc4RFdSQlVTUQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,India,,,,2025-10-18T08:56:15,PTI PR Wire,PVR Inox to re-release Shah Rukh Khan's blockbusters in theatres - Press Trust of India
PTI PR Wire,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBSaGdiOFRpOFNHd29QcDJ3QmVIbjNCdFNzNUI1d2ZpSGpwRUVsVDJDcV94a0xtdmpPVk1yOHcwUm5aTkhuYldEX3g5elBXOEk?oc=5&hl=en-PK&gl=PK&ceid=PK:en,India,,,,2023-12-20T05:54:52,PTI PR Wire,PRESS RELEASES - Press Trust of India
PTI PR Wire,https://news.google.com/rss/articles/CBMi7wFBVV95cUxQZnVHRkF1RWtsdV9EWGFRMnhkNVpqZ2pvS3Y5d0pTTkt6V19zYWZZV2d3MU5DVEZZanZmeDgxYm0wbVgydndrR0NpdnZBTHNTb0lvanBKNzBQeDhsOUJDenpsR0ZDdDZfczZFY3ZtbHpvOFB2UllSNkkybXBSZkRkU2Joek02TEpBcDVSc1dyb2pIM25qd2tnZDFUOHYwYnE4SndhblhEVWtSTThnQkRMYkVCQ0FXYUlmRjdIRDdwaVRXTF9VWnM2SkVJTjdKcFhrcUVNQkZnNkZBX0hPZjVsNGVEZUhScmd2UVc4ZUY0QQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,India,,,,2025-10-16T05:08:53,PTI PR Wire,From Africa to Ahmedabad: 14-year-old girl stands tall again after robotic spine surgery at Stavya Spine Hospital - Press Trust of India
PTI PR Wire,https://news.google.com/rss/articles/CBMikAFBVV95cUxOWVVzZTB5QUhPdGt1clJnUVppbjJoMG9XTUViTkdtbXBzSjhOY0pGUThaSFNubGJjT0FjbUJxWlpCMVBFQWU2N1ZfUk4wVVJsTi1nQV90OGZnMjNueW5MeTdWR0RtVGJVREl1djJ0TUs2dS1EVXB2Nk1oV1ZaUVRuTUxFOXAwbnVpcGVfUzg2ekM?oc=5&hl=en-PK&gl=PK&ceid=PK:en,India,,,,2025-09-25T07:00:00,PTI PR Wire,Crisil to acquire McKinsey PriceMetrix Co. - Press Trust of India
PTI PR Wire,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOdUJTWkNhOXZJT3dlc3V5NlpsU0F0d2VUVTFqYnNLeWQyTWZXakIyMkdFbmJGRUtFODBkQWRIV2dadzFwR2JYNmEwdVduZkl3MkJBYmdmdEFJeHJZdHQxWGVhMm9fUENtVGhrODkzUV8tcmRLUF9nNFhwZXdDc183V2N0WE9GdVNFY2RWWE16ZE84TjVCT0RqWHZ3ZE4wSkc4Q1hXeS13RnFBOW15OHBFOXYya2pQNnJuUjlmaXNSUE5IbFhQRUNoMkNjSDNBX2FUZDNzVXV6NDdBTnlBZUE?oc=5&hl=en-PK&gl=PK&ceid=PK:en,India,,,,2025-10-07T07:00:00,PTI PR Wire,"'TREE OF TRANQUILITY', Grammy Winner Deep Forest & Iconic Santoor Maestro Rahul Sharma Release New Album - Press Trust of India"
PTI PR Wire,https://news.google.com/rss/articles/CBMilAFBVV95cUxOQU1PRnRJOE5pOTdiR2hocGo2QnRLd2ZMS244YW9TQm0wMXFPbjUxWkowSGo5SndlNlNReGlkMndpSTMxZEU1cXdqWHp0VmktZ3Z6WkZKVGthZzZib21mdjgycncxRFJLeFBjdFhLdUR3cWJCOEZkYnFCNUNtVjVYS0lMSEZHMHAxUFRMUlI5eVBvS0g2?oc=5&hl=en-PK&gl=PK&ceid=PK:en,India,,,,2025-09-22T07:00:00,PTI PR Wire,'Kantara: Chapter 1' to release on October 2 - Press Trust of India
PTI PR Wire,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNbV94ZWpnUDhVNXNTSGVMWFVBY2NQWkFiZjdadzlWVXU3NFM5NGdqTzZIbXBQRFBGRlQtRENxbW1ZS1BCM2VXZDVxUWh6Sko5eXQ3VnRSeDNRc0xVZ1FYX1VqRHRjUVRNNTd4TDREb0t6UFhWV05WWWdhZHBqYzBlckVLQjN1YWdRdUJiU2ZFNi1Qc1dhYldSZ2x1T04tV2pzU29DVm9pX2xnMFlBVzhzRklGYU1TY3lDZTMwVlNDLVBndw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,India,,,,2025-09-19T07:00:00,PTI PR Wire,Birla Carbon Releases 2025 Sustainability Report 'Connected to a Greener Future' - Press Trust of India
PTI PR Wire,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPeC1kcUFObU9ITzY1a1NRNlg2cWZkRGJPM1hiMnF2WF9PbjFpUVFLQnQ5UW1RUkVjdGg1Zk5McEhQeC1vaHczY3AzcDBxNTFEcThkNzVKNmJOWVkwWko1WGJPbFpid3E2NENRdE5pSVFQd1NaVG9pRmVHeUVJTmJYcXlMMjl6ZHNYeUptT2RmVWxLbW5IUFJ1SXMwSGNud3pDMkZncllBeGdLQWdzdXJkenlER3VkcGpSeDJsN3l0bkVaTjViYVdIVll3blFFMUdYNWtfRg?oc=5&hl=en-PK&gl=PK&ceid=PK:en,India,,,,2025-09-01T07:00:00,PTI PR Wire,ISB and Maruti Suzuki Launch FundRays Investment Readiness Programme to Power Startup Growth - Press Trust of India
