Media Outlet,Publication URL,Region,Estimated Traffic,Estimated Views,Estimated Clicks,Publication Date,Feed Name,Source File,Estimated Traffic/Views/Clicks,Headline,pub_dayofweek,pub_hour,pub_month,pub_age_days,Predicted Estimated Clicks
AFP Relaxnews,https://news.google.com/rss/articles/CBMiUEFVX3lxTE1LQlJvZU03ZTVWeXkzMWdtX1Y4bW04SGtqaUVDRnVwZkRMbzBsLVdCc0dnVzRGTlhyZElleWluelgyaVhqT2E1dzV4VmVKdW1X?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,,AFP Relaxnews,afprelax_2025-10-22.csv,,Picture - afp.com,,,,,971.795017358512
AFP Relaxnews,https://news.google.com/rss/articles/CBMiOEFVX3lxTE82VnBvYjFjaTE4Z195MHpNbGZGc0JVeFg1WHEySVJXbGZXejhfY291WlRGVmhyeWRu?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,,AFP Relaxnews,afprelax_2025-10-22.csv,,The news hub | AFP.com - afp.com,,,,,971.795017358512
AFP Relaxnews,https://news.google.com/rss/articles/CBMiU0FVX3lxTE9wWjNJaWhjblhDMV9sQkxPWXhWYk9tdkFYUmlQWC16el9lRElUNGxPSU9TYzhUb2Vtb3p3dEhicnZKTE5ianR3bVBSbGdQeGNmMlVZ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,,AFP Relaxnews,afprelax_2025-10-22.csv,,ETX Daily Up - afp.com,,,,,971.795017358512
AFP Relaxnews,https://news.google.com/rss/articles/CBMiR0FVX3lxTE1TTS0xX29JVjkwV3lTN2tNYjJwdXZTZDJvX0hGX3VxQUQwVDVReGlyTmlEaFVFZE9DUEh2ZnNORHVVdE1mLXkw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,,AFP Relaxnews,afprelax_2025-10-22.csv,,AFP- Relaxnews: positive results defying the crisis - afp.com,,,,,971.795017358512
AFP Relaxnews,https://news.google.com/rss/articles/CBMiVkFVX3lxTE03eHRoYkJMTzNhZVJoYWRJMXJKMmIxWEJOaGpRc09ZQ1pKUXVHUklxUUctVG9uQmJ0YTdtdmIwdXI3WG5YWU53Vjk3d1NKYVBOajl3elRR?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,,AFP Relaxnews,afprelax_2025-10-22.csv,,Relaxnews bas de page - afp.com,,,,,971.795017358512
AFP Relaxnews,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5nbzIyQWxhbGdMV19PUUtNa0RfSThwZ2FEVWRCbkloMFBUazNfQWZtQTRsMFBhLTViVzJVQl9zY1dHQU44Vm9MMnpqaFJZSDg0NGVoR2RySDVaT054X1JFaDEzUlBJUQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,,AFP Relaxnews,afprelax_2025-10-22.csv,,Relaxnews - présentation dépêche EN - afp.com,,,,,971.795017358512
AFP Relaxnews,https://news.google.com/rss/articles/CBMisAFBVV95cUxPV2liUVhwY1Myc1RGUXFCT295OWYxZWhlWG5RMVFyd24xUHBiRDlMdzhlN0VZT29pS1NDYkFfQUZEZ3V0amlXaWVEMXR3Z0plQmdTbElQTFZMS2ZJa0JORGR3aDJ2V19KcThTajg3Zm5nbm9TbE5zdms4ck4zQjh5Rkw1RVVnNmFsd1ZLVzl4YVgwZFowN0EyYnFhdkw4UHR1SHhxZUJfb1ptallCTEhOag?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,,AFP Relaxnews,afprelax_2025-10-22.csv,,AFP and relaxnews launch the first worldwide leisure newswire - afp.com,,,,,971.795017358512
AFP Relaxnews,https://news.google.com/rss/articles/CBMiswFBVV95cUxPTjRCdnR2SVM1LVEySnRUZ3kxeElnVm9UOURiQ2d6dGxuZ21nZlhqa2syUG1TUF9SMUhFWHJSejdrcHphWjdXbnFnWEVDLV9iQVlNU3EyRXJyLV9ubnJYQzUzamdHbDBmclE4NnhQa2tUOGhoYXpIbmNNTGlqNnlBbTdsa2pEb18tUndhZUo4NUFjdjRRQ2dTMHZpOXZBY1YzZnBYUUtycFYteXhNRDRkMmRmdw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,,AFP Relaxnews,afprelax_2025-10-22.csv,,Colman Murray appointed Global Brand Director of AFP-Relaxnews - afp.com,,,,,971.795017358512
Medianet,https://news.google.com/rss/articles/CBMiVkFVX3lxTE9tT1RLdjVReGJSS2ZDZ09zZmRZSkpONXV2cU5Gd2YxSFJyaV9YNmJ5bUhPZDQ5RG42QVFQRVc1enNtcnZyZ2Z6dWc1U0t6ZS15QTFkeFVR0gFmQVVfeXFMTldrQUFPbFFKb2IxVThjVW5taXFZRHl3THA2YXhJdGFadkltSEk1ZVlwMmRJV0FDY0R4eFNLMkFLMzdta3E3ZS1NcFg2cWdQNVJjcmJRZHoteFFpU1pBdThBODRFZ0pR?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Australia/New Zealand,,,,,Medianet,medianet_2025-10-22.csv,,"Journalist Spotlight | Interview with Steve Hart, Anchor at WIN TV Wollongong - medianet.com.au",,,,,766.9603082135183
Medianet,https://news.google.com/rss/articles/CBMiVEFVX3lxTE1WanlZQTVSNC1qV0E1VU9SUjVzRV9sX2hCQmtubFJoMWl0eVNXYXFhdmlkdi1zVW1fUVhQSWRKczFjUmF1cDZad0kwcERXeFFOOWF4bNIBZEFVX3lxTFBlaThoVWN6U0J5ck11Y280aXdnazNhbDUyOXlHeUJ4d0pEWGFxSl9YdGxhbWpEU0dSOVZXbHpHTnhDdDM1bHlnX2RRR240bTdFYlM5SVE4T25jUTR5Qm83ajVVTEw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Australia/New Zealand,,,,,Medianet,medianet_2025-10-22.csv,,"Interview with AAP New Zealand Correspondent, Ben McKay - medianet.com.au",,,,,766.9603082135183
Medianet,https://news.google.com/rss/articles/CBMiWEFVX3lxTE1YbmpqUy1Jb3o2VE5LVEtLeVhmNlk3aGtUT0xfU2p0eS1kcGJQS3V5ckNtMHZyOWR1RURGU2NRcWdSMlhIYUdtVDhmLVZmRUxibDl6N04tMVjSAWhBVV95cUxPQzBrWFVyU0lQUktkQ09ZcVRjR2FGN2o2d2p1TDd5ZmNiMmFjVjZ5cG5nRWZxZkZ6bjBIaDN0MGIzUGhuMXVhdHdFNDIwOTNmdmZoOUFURUJ1NkdycndLa3RaWnQtaTNVTg?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Australia/New Zealand,,,,,Medianet,medianet_2025-10-22.csv,,"Journalist Spotlight | Interview with Lauren Rouse, Freelance Writer - medianet.com.au",,,,,766.9603082135183
Medianet,https://news.google.com/rss/articles/CBMiWEFVX3lxTE05Y21aTTZtazNJc0pGS0w0THMwYWZiaTl3SGFKUGdRT2dlT2ZjU1RsVEZROGstNXF5eVM2TDl5U2F6X2xnQ29PMk02OFE3dzl3UFBzbHVjYzTSAWhBVV95cUxQczYwSThiRXdKRkhYeG5KU1BEc0MwNnFtUkpfMm94cFhRLUItT0lhUHh1Q1ROazRfaG9EX0xDQzlfcmM2VUUxejdJX1ZpcnRmYkdJM3VuUHkzQWlhUUR4S2M3QWQ0al9PbQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Australia/New Zealand,,,,,Medianet,medianet_2025-10-22.csv,,"Journalist Spotlight | Interview with Dane Heverin, Digital Reporter at Fox Sports - medianet.com.au",,,,,766.9603082135183
Medianet,https://news.google.com/rss/articles/CBMiWkFVX3lxTFA0YlpKc3ZlWlkzMWQ3S0o2bEdzSi1YYVZpbUJnYzZXcGZNN0tNNVhVdk9YMW93OHd3RWkyaFJvaThuVXIxTGpMX2swY21xV1NkVDdpOFpWaHRmQdIBakFVX3lxTE9VVFZYWU1QNmQwMDBkMWRkRWFzVGhqcWVTaGdyeFR0V01Gc2N0RnViTkRnNUh5TlVFWEFWel9GcnR3azc0VnpiUkN2ZGRVRXdzeVZydkJ3RlRiZEwwc0U3Tm13cnNXaFFsa2c?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Australia/New Zealand,,,,,Medianet,medianet_2025-10-22.csv,,Outlet Spotlight: Travel Guides - medianet.com.au,,,,,766.9603082135183
Medianet,https://news.google.com/rss/articles/CBMiVkFVX3lxTFBkdXZFajBDQk1oMk0yYnFnZHBnb3IweEZxREZLazlDa0dXa014LUFvRlBiTWc1NllMek1Lek9VZXBPTV9sYkJKMHZ3ek43ZldBdmxGc2RR0gFmQVVfeXFMTXhsZm81bXh1N3JNMFJMdURoNzNTRHdYSmY1N0FwblRWQ0tJZ3huZzRPWXRpSEYyUExybjFkTFliUmtiT3FCU29Zam5ZRnlkaVBrMUpnTFNBNWpPYzRCN2RFWjZ0UTNB?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Australia/New Zealand,,,,,Medianet,medianet_2025-10-22.csv,,Ruby Innes - Writer at Kotaku Australia and Operations Officer at SBS - medianet.com.au,,,,,766.9603082135183
Medianet,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9wc0dwSWVEMExXRnBSWXhLSmJIdFBGUnRNanJ4bDNteksyREpwQWdiU1ZfMGY1LUpVTGhfYnhnb05oYjU1NlFkNlEtNXF1cW14UnBwUTAzdHFld9IBakFVX3lxTFBrZW13aGhnakdUMmwyYll0Y0U5Q20yVTdoenpiTU9nRXFPUlRfdVNrR05uU0x2dlJKd2FoMV9MNktXVWROZktvZGRhX3lva1MyY0lDeHRkd1J6SWFMSWtyNzNycTVPSUVmRHc?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Australia/New Zealand,,,,,Medianet,medianet_2025-10-22.csv,,"Journalist Spotlight | Interview with Courtney Kruk, Managing Editor for RIISE - medianet.com.au",,,,,766.9603082135183
Medianet,https://news.google.com/rss/articles/CBMiV0FVX3lxTE9BcDJQbjVVbHdPWUVUVWtZQmNTRXJzdHlsbVoyS1RMYXFZa0xPaTh5d01MUlNEbjE4OTctSHRDX1QyWGxDemE3ZmN2ZzJMdFN4aFNaV0dhY9IBZ0FVX3lxTFB5NVZDWDNIMDZpWm9icnRxc3dmNFoxREtSU3RGRlJMemlid2w3N0FNaXU5RThNNF91RmE2WGxsUFAxSzlrVjhjZThjUlZmVUM4aFREOERfM2tBQzdvQkFlV1IxSFdiU1E?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Australia/New Zealand,,,,,Medianet,medianet_2025-10-22.csv,,Interview with AAP Sports Reporter Shayne Hope - medianet.com.au,,,,,766.9603082135183
Medianet,https://news.google.com/rss/articles/CBMiWEFVX3lxTE5JMThwOHlpNzRsNF92MHNIYlhMcGtHLXB0bGZsMDk5bmJKY3BGdXJZUTYzWGwyYzlWQXRUd1J0bXllTmtHN3JHQ3BidGx5SE15TnBBaHYyY27SAWhBVV95cUxNUUFwU01UMEp1ZXAzSGRuV0luOVNQNF83S2lPTFF3ZEo0TnBIRFJ0UUJ4YmZ6cm5DMGE2aGNkX3hqSl9FQkVXNHpzWWhJZXE0OUNFUjlrejNxZVowZlBZNVFuQjNzYTBjbw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Australia/New Zealand,,,,,Medianet,medianet_2025-10-22.csv,,Olivia Ralph - Acting Chief of Staff ABC Western Plains - medianet.com.au,,,,,766.9603082135183
Medianet,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQOExEM3pDUWphYU9rc3VVd1FIZ01uTVpzcUFaSFNHdklRVFJPQm5ONHIyMXZYaTQ5aFVEUG0xQkF1RjRkcXlBMDJVVlRSRzRzODdTRXlTTmV0QWVFV2pjNjlPUUV2NElUaUhnTzJDbE44YThwWUxnaDIwenlwMDN1cE9QSTRmMGpMcHhPdENoc1VkeW1VWmVYRHdsNzhYNjM3aEZ2V3BFdDFXd9IBugFBVV95cUxQZVl2TGpGU3lDUXc0MXZCUkVGUklCWWRtVVVGNnpJV3ZZaVcyMEFUcXpkMVY0Zm9wRDlXeUkyTnJXbjJ2VXZ6LXQ5LW1jNGxBbTlYS0hPMUN4WXM4Y05USVFDeXJLM05qemFBV0VfVHlMemoxbnZjVVBTNlB5N19OWUNjSHhiZVpKT1hpa2JpbGtmS0I0Vy1DR3l2NERZdkxpdm9sS0hmTDNqREtETXFXeFB0NlVaYVlvNEE?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Australia/New Zealand,,,,,Medianet,medianet_2025-10-22.csv,,Amrita Sidhu on authentic measurement: Aligning data with purpose in comms - medianet.com.au,,,,,766.9603082135183
Latin Press Release,https://news.google.com/rss/articles/CBMilwJBVV95cUxPVTlsaHBHazdFdnB2eXJzamNGcmxEZm9tOU5BNm1xOWRZTEhwZ2NDRVpQQmRZaEMyWmtjem9DSWZfVm1qWk9YUjNCT0pTOEt4TXpyLTdSRUVGMFhQa3RtZlo4aUN0V056S21yN3luNzRqdXFGOTk5SlpnZXlTd1NPYVZMY0RaVGFkZmQ0dTJMM3NaZU1ydzZzRHpja2tfNXdlYmp1X0Y0dFJNN3Z4UG1ONXNsQzBDMXNEVlhOVXZXZ3JIbkVuRFdWZ09RN3c0eXZ6OHlXNkkzU2M0RTRoUUplNmdsNVJBYVg3M0hQYjl2RDY0cHNLVjdEQ2ZiRzlpcW54RWdieEhOc1UwVFpEeTBzOU9jUVNVYUE?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Latin America,,,,,Latin Press Release,latinpress_2025-10-22.csv,,Habi Raises $200 Million Series C Led by Homebrew and SoftBank to Become First PropTech Unicorn in Spanish-Speaking Latin America - Business Wire,,,,,766.9603082135183
