Media Outlet,Publication URL,Region,Estimated Traffic/Views/Clicks,Estimated Views,Estimated Clicks,Publication Date,Feed Name,Headline
ResponseSource,https://news.google.com/rss/articles/CBMi_AFBVV95cUxOcGtCSm1DSnprTGFvYzFubkVESDVRZGo0VkJrXzlZTkZ0a2lULVctVTFOWUg2VXNBaGhQZnJ6MW5ZYVpHVFJMOTJIbzV6X0x5SXQtVldVU3hvWWFxVFhpN1NWNWVmQ3liQU5WNE8tR3lNUkxWY0ZwRnhtYklaUFZKa2ROaVdIZnptTVU4bHMtTVY2OUFSN294YU0yVG5PS0xpZnpUNGJITmI3QzNUQW82WjVHbHFvOHZhSU9GZ1AteDF4djdSVzZyWk4wdlp6Q1VvaFJnamhvRGNHVFp3bnNzT0FCblpMMGlOZVF5cHVwZmtEaU05U1FlOWZubkE?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,2025-10-16T12:38:56,ResponseSource,Login - ResponseSource
ResponseSource,https://news.google.com/rss/articles/CBMikgFBVV95cUxPMmdndXlrbVZUWEFlWHFMdU1qQVliMXAwQ0pqSm5ITExmd0c5eWctRzZxVjR5Ri1BQmQtYmt6dUh0NG9HenVTRWZVa2owNkhQeUU4azY2UmVNZS1nUVJZdUd0WDZtYk9YNGJkNm9LSGlXS3VKZ1phQnR3U25WODhXdXZ1eWJLcTNEeXJieTBldG5pQQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,2025-10-08T14:28:51,ResponseSource,Spark Communications chosen by Aqua Global - ResponseSource
ResponseSource,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPbnFEVjdQdGM2Uk14am14ZTBReFdrdXVad1hkWTl5bE5ZakFpb2h3ZzlFRVlMMS1LaEpLUmd3aXlDdWNObGtSRlRsWjc3czMwUTlVUWgyTGYtQjcyNEY3NjVGQVE4Y2VXV2cyVkEzOVRvZE5BaUtTcEt4QUNFUlBGOEVWMGdrM3l6M0Rz?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,2025-10-07T07:00:00,ResponseSource,Sky News relaunches morning programme - ResponseSource
ResponseSource,https://news.google.com/rss/articles/CBMilwFBVV95cUxPLTNZclpmYkZnSnluNHZacERzZFBGaTZHMGN3NzkxeXhaUkVGdm5uQ2hBTGZ5a3FfN2p1blZLMGhITmJmRkJLZnZOMzlkYzF2anVaNDIyTFYxQ2o4SXVXNmx1b3hpc1Z4aFJDUWgtLXR0dkNVRnRhdWxOTVpxT1U1WWtNSHVka3U4em91dWF5UkFYcmVNM2hj?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,2025-10-15T10:52:28,ResponseSource,Gabriel Morris joins ITV News Border from KMTV - ResponseSource
ResponseSource,https://news.google.com/rss/articles/CBMimgFBVV95cUxPdzV0RnJFalVkT2ViQ0ZXSUw0eWxYQWVKLVhNWHgxdkhYU0NoZFdBb1c3bUdnMWMxZnlVNkt4YU5tOHJyRS1CMkdkTUF1a000eTYwRXd4cV9jQW84MWRTRnRKeVRFTFNUWVlPTTh3aGhlMFJoTzF0QXNFaTFpUTBwOXFNLXZqNlJZSVU0d21IalZSN2VucWdlSHh3?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,2025-10-22T13:03:46,ResponseSource,Charlie Sawyer joins Metro as lifestyle reporter - ResponseSource
ResponseSource,https://news.google.com/rss/articles/CBMilgFBVV95cUxQZUhwR3ZpVjRXUko0MnI2MDhpakQtSDQtMF92Q1BTWmtuajY2Z29EMXZiWm5JeS1sN3hoSVFlRFBJYXRkNHdpdXQyRzMwV01TLXdySm1VRk5VZzFIOGpYOWIwdUo5QzJCUGRPcDVrOTlkUmF4ckxZVk1LSU83eU1ZWTlKRXp4UzF1dVdiekpLbjdtb3o0eUE?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,2025-10-22T09:18:36,ResponseSource,Cameron Frew joins TVGuide.co.uk from Dexerto - ResponseSource
ResponseSource,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPcmdlZXVMblhNSEJWNkgwOXdIZ211cHI2QWxwNU5HWmFKT2xBVzBCXzJXWEdPN2lxVHU2N1dianpvV1lKVnRoQWdoQm9heGNSOHcwT0xNX3ZrbjllaElGQjkzQUNTczZVeG9sd2tidGo3VmVoSUVSckVVZlVmZWZxbkZiWnBXbG4xU2NoUWxFM2lxdURyelpqb2Zib1JKOTF5b2ktMkl4aEhibEU?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,2025-10-21T14:16:12,ResponseSource,Joseph Brogan named Motors/Specialist Reporter at The U.S. Sun - ResponseSource
ResponseSource,https://news.google.com/rss/articles/CBMijwFBVV95cUxNZXZudGtqcWZuam5qdjBTQUMyMVdPbXF6ZGdmdzVodm1iV2hmd3FMcnFyWm5qb04tbk52YnV2eGpKVDBQYURYTWNYbkxCVjg0bGIzbFlPWmhmQm9GTEUzWmdrdzNvTnFmTEY2ZWlWNzU2Q29kTTBTTHE2MjRmY00tbTNKYjhDYURFSG1oSlZlZw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,2025-10-15T09:12:40,ResponseSource,Promotion for Natalie Zannikos at Hearst - ResponseSource
ResponseSource,https://news.google.com/rss/articles/CBMirAFBVV95cUxNR2tHanhyYURPeVR5RkFacUQ3T1FxUm1vRGgzNy1Ua25iNW1mVFN4VVNUTnk3UGNhOE9zVkRuVWNlcE5VZjE4NlpFZ08zVGF1WjhMRm91a0RCdGJhcEVuRjVFY3FHaF9weW81cmJYTEdMZ3owd25jeWxkWDhqMEl5dlYtNjRuc1F2Yng1Q3RyeExNRTh5em00U3V1LUs1bWc3Y0h6YU5KZ1ZjcmdM?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,2025-10-14T13:32:47,ResponseSource,Jessica Carpani promoted to head of lifestyle at the Telegraph - ResponseSource
ResponseSource,https://news.google.com/rss/articles/CBMiigFBVV95cUxQQ0wwc1kycHdsZmxqdmJqb2NnQUxVdkl2a3ZXdktsbi1maU5hOHhMNkkwQktueW02V0FndVdXMWhBOWkzM0dhN2dUeWVGN3dZUzVxN3lLbDJHRnBVcEhUc25vTDhOcVF1cDdjLXpuQ3h4SF9xUXRsQWE4Vzd1V2t3YVhCVURSdEo3WXc?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Europe,,,,2025-10-15T11:27:38,ResponseSource,Jamilah Rose-Roberts joins Wallpaper* - ResponseSource
