Media Outlet,Publication URL,Region,Estimated Traffic/Views/Clicks,Estimated Views,Estimated Clicks,Publication Date,Feed Name,Headline
Scoop Independent News,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQSkpZNmFEMnBRWm1JYUM2UUdWQldRU2QyeDl3Nm5ORW00V1BLRXBCOHprR1JHbEQzQjBodVZWS2VFRDhlMlZPWklGc1lPbktUTDR1QzgxUEVwb2lJZm9qZERudVUtcnJqTGdrQ2NtTEdMTjJGX09hSTNzdXhVcDJ6X0lnMUlqQjF3eE1vVDZRT3MtS24zQjBLZm42QThRVmFMcER2TUVRejl2VVJ0aG9qX01hRmVRQ19MSkFhQVo5ZTc3SE90Uk9KYUNxNzlZbDk2?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-22T02:20:00,Scoop Independent News,Why Is Fonterra Selling Off Its Dairy Brands - And Why Is Winston Peters Angry About It? - Scoop - New Zealand News
Scoop Independent News,https://news.google.com/rss/articles/CBMifkFVX3lxTE9WNEloOURVZnI1c0tDV1pxZW5uQ3hMVksyQTZrWVJRMzBKVHZKZ245YUFZXzJJVklFcU0wbTdreERtckctVUJCcGhMQUlKclBoOFQ3SWNVLXAyMmRFRjQyZzY4WWlHOFkxZmhsWXc1amhsYWVFY1RkdERhQ1VRdw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-21T23:17:00,Scoop Independent News,Picton Truck Park Opens - Scoop - New Zealand News
Scoop Independent News,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNQWZrYlNzM0Vaak83cVktcnM4LWFUNVkwUE9FeFMybmZQT0NPczl5dnBEaHhOcllIOW1kLTV0bnRiVnAzS2RZWHI5WWZ6VEFPc1ppTElpTHRGUzVjdWdsY2V6VHhFNmIydFUzZXpVWjJ4aXpRWGpPZDRYcG1iSklXdHJVbG9abW5IRXNLZ3N5SmRwdzBIT1VNRk1rNTRnNW80amNvV1NTVUI?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-22T03:14:17,Scoop Independent News,"Flush Taps – No Safe Limit For Lead Exposure, Especially For Children - Community Scoop"
Scoop Independent News,https://news.google.com/rss/articles/CBMimwFBVV95cUxQVWg3LTNTaElVWFhHcDRuQlFwakJTMmUxWHVNT3hfUHh2MnFlYmFiTkloVzgtbVlfdnZ0bEViLVB4dWU4Wjd4SnFUZmtoWFVzRTRrZ29UeHdaUXZxYTBUeHVIUXpKZHBnUmdLZlEwQ1dydzVLTUhEeVp5TVlmLWs5Z193U1FQbjZ0MjJ4MXVpc2FjbHdYckoyX3Rpaw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-14T21:29:00,Scoop Independent News,Early Childhood Education Sector On The Brink - Scoop - New Zealand News
Scoop Independent News,https://news.google.com/rss/articles/CBMingFBVV95cUxPVXZNRG9uMGUzS0ZnNnJDX3dKQ29Kd3JHVHRyQW1LbjFHWEd1NExVZWVXMHlYLTFTN25XSXl6c1owMUhfN29maUJvVFkzcmJNZVlfM3lRUUlpbHc5YlNaVHAxU0taOEMzZk1fcWZ1d1RWMUJsN29yem5qWjlHOGhaeEpQZWtvZjc1dEFieW5iallQR01iTUpEUnhsY1p5QQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-22T04:29:00,Scoop Independent News,Keri Brown Appointed Deputy Mayor Of Lower Hutt - Scoop - New Zealand News
Scoop Independent News,https://news.google.com/rss/articles/CBMinAFBVV95cUxNVVRyMF9vWEo4SGh0SExzb3gzTE1JRzczVEdCUGQ3alVlQlNRMmdvVVJqSU5jenllX3M4UVJEbHI1SmZhNDViRHpYemotV2hjRUViVldjOEFhYzhlWGVFSHJ0YVJXc3BzeDd0YjczdGg4am95RXFkLTcxLURvSDh4UE1HWWh1UVdwbk9pWW8xU2tSelllSVFhU2x3Ym4?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-22T04:34:25,Scoop Independent News,Keir Starmer’s Maccabi Outrage Should Get Him The Red Card - Community Scoop
Scoop Independent News,https://news.google.com/rss/articles/CBMipAFBVV95cUxPYVFrX1NHTDRaUVp4N3ZnTjExVVhMMFNWNXh0RHh3Xzd4czI2NFZ3MWxPVnpjN2RVRVVFbFduY1JpSEswdXVnYUN1R00wVklzZzZyclRYQ3hoLWkwVm1LME85U3ZEdFNrOFQyOWgxYmpmOVpHSm5YN0RvR1JDdjdJcHdzaGdzOGtNT2dBY1hLaHY2NC1RcUtvR01TNVFXb2RoV3NyWQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-15T22:03:00,Scoop Independent News,Govt’s Climate Adaptation Plan Leaves Work To Be Done - Scoop - New Zealand News
Scoop Independent News,https://news.google.com/rss/articles/CBMi-wFBVV95cUxOdkJrX2J1djE1dlJjNU5BQ2JFc3F1bDh2OFlCdEo4RWtRTjliSlRxbzg5VjlpUl91dDdwLUpnT08zRHRZWDBlRXpCRlJFZEh6d2pxSWUwWGFiQjBUa1ZEZ1pfdU1EVDgyRG1naE5qTE5Bam1yTnV0MTlmR0J6T0lwS01Yb2F4ZjJIR0RJNTljenpaZW1fZzA0NUZhUU9XZ2lCZFFEQ295cmlMbmQyV0tFbE9SelhQVk9zOW1wZkM1SEJIRWxsbWpZS1g1WEZiLWVPaVhVdndxMjh5Zmg2QlBxZG93MHA5cHIzTEpLcUM5LWdaVUFrc1VWU3VkRQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-21T23:37:00,Scoop Independent News,The Ceasefire Is Not The End Of The Extreme Suffering In Gaza: Palestinians Need Immediate Aid And Medical Evacuations - Scoop - New Zealand News
Scoop Independent News,https://news.google.com/rss/articles/CBMilwFBVV95cUxPMzltUm9NOU1Ncll1cFhrUWdJb3k2TjA0OWtxd1BoVklkQ2V3NWJDcjBxcHBwYWFSZ3h1UkNUYlp0U2xLN25RX21sTlJJYmlqM2JzWGRwN3NfZTU3YzBkamZUN2VWMDZZeUY1aktNTTBEcm5tY2dwbzZXTTRJbndnWXc1Q0doY3p3R0xMVmg2cUlCclB0SkU0?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-21T22:18:00,Scoop Independent News,"Strike Unfair, Unproductive And Unnecessary - Scoop - New Zealand News"
Scoop Independent News,https://news.google.com/rss/articles/CBMioAFBVV95cUxOell5Nlo2dmV1eW5qVGZVUS12X1RNc2h3V0JIMXVEWE1LVFV5LXRhemRYOUlVQ2JqV2pKcE1GbXk0V0VtSlFOdzVnNDhOYmdHNG5YTWM3Y3BRaHl3bE0zMkRYa0xPb3NSTE5oRWVSTTQyS1oyLThadDVZMHJnVTVJTkljM1V2Yi0yM2owYlM1OFZyYnk2NjJISHRTd21lTTJh?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-21T01:28:00,Scoop Independent News,Serious Youth Offending Reduction Target Achieved - Scoop - New Zealand News
Scoop Independent News,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQYVYwZWxBcXR5WnlXSUNLMXBzMUJlNUY4UGFEbGhRR29sMXNreWtYV2Q3QnB5c3BBd2xrNnlRdlhYbkhlZURQSjNKRjhfaVVUYnF6WGlKTGVXb3BSQ0pCWS1tNU03OHpJR1JJRmVFdEYzMEZwQ3M5YmFHUVpEX3ZHU3Q1bkt6aU0tbThKZlZVVHpYcHJTTzhidU5Cb1ZIRFpwZllHOVdOWVh4elRMYzF6TFBwUjRrY1RCNjJ5eHFsRlFyUQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-21T20:22:00,Scoop Independent News,Have Your Say: Could These Be New Zealand’s Next National Historic Landmarks? - Scoop - New Zealand News
Scoop Independent News,https://news.google.com/rss/articles/CBMilgFBVV95cUxPOHJWdGxod2liMUVTR0JSa0NtVklHTVVPcGcyT1ZBZlFQbEhVUkhwTEd0c3FqRGdSRmozZGRpbGlITWpES1RXLWtncmZ0MGRjVWE0cHkzWFI1d3FuRXUzeTZ5aTAzNUFKb2x4Zjl3SFJRR3RLVkg2d0s2cFJVZVB1YWR5WmYxVDRUN0U4cGg2UG5yWjR2Mnc?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-21T19:25:00,Scoop Independent News,NZ And UK Foreign Ministers’ Dialogue Held - Scoop - New Zealand News
Scoop Independent News,https://news.google.com/rss/articles/CBMiigFBVV95cUxNcENjQ3dOY2EyRXg3SExkZHJ5WXNkX2loV194TFBpVnZaTWR1YkNJVEtjR3FhWmhOVDd3Y1NrallISFFmaXVfS2FLeG5OWm9vQ3I1UFhsVWJ2STllQnFFZVdkdjNsWmhvbmZDWW9SdE83Q0lYaFRPb3RoVm84Vm94TS1fRUxvbmgzWmc?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-22T04:35:14,Scoop Independent News,Soil: The Hidden Giant In Construction Waste - Community Scoop
Scoop Independent News,https://news.google.com/rss/articles/CBMinwFBVV95cUxQclJxVXE1QnlFekVnRHdSOVBPUHRNY2JKRUhjc2JEcnM2NVFMbFJkbVl2UkFrcEQ0NkhyQURpaGdmOHNwNHZxV0lkbXU0a1dWc29XNXh6NGcwX3RZamYwbllmNHNzNk5FczVRVXVTYUVhazZIVTJvQkZ4QmcwYVpzd1I4eXd4YzNocnhtUUJlNmhZRWFBMmEzaVZLdDE2MW8?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-21T02:40:00,Scoop Independent News,"Road Blocked, State Highway 50, Hawke's Bay - Eastern - Scoop - New Zealand News"
Scoop Independent News,https://news.google.com/rss/articles/CBMikwFBVV95cUxQYjdJNDFXVlppVlM0MmdidE9iY3NKZ2hHS1I0Y2ZQNEZIS1JwdVpkd0trSUtUaFBVTGsyU2pZN1Q1aEtTVnpSU2RLRkJKeGFqckVCOFVmR216LWcwbWh4d0RWcV9nNC01YjFCSHVzRkdqcmZhUkxsRFJWOElrRF9HV0x3NmxYUVdjZ1lTQldtQkNUZUk?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-22T05:36:00,Scoop Independent News,"Road Blocked, SH1, Kinleith - Bay Of Plenty - Scoop - New Zealand News"
Scoop Independent News,https://news.google.com/rss/articles/CBMipwFBVV95cUxNNTlSQld1bXVuTEtVcG9YUm12U0sxRWEzS0dmYjVFRHJxU01XQUswMjkyalU0WkU5SW42akp5dHkwWTl5aUsxaVAxU3FDLXdYSkY5RzBpbE54WTZLenJESnIyMjk1dDRzWEtQQU1jUFZ6cnNubzFuQXVMY0dNT3FRdUtvVF9KVWsydXhGMTQ1YjVOVVJKSDdtMUV5d2llbmNNd3hma3F6WQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,New Zealand,,,,2025-10-21T01:17:00,Scoop Independent News,Hard Adventure Enduro Will Push Riders To Their Limits - Scoop - New Zealand News
