Media Outlet,Publication URL,Region,Estimated Traffic/Views/Clicks,Estimated Views,Estimated Clicks,Publication Date,Feed Name,Headline
TASS Press Releases,https://news.google.com/rss/articles/CBMiR0FVX3lxTE1ROXQwcVptZmZZUFpsSXZoR1FxZmNhOUJMTnRycEdleFo1N0t3V2wtbDZ1RW1NNTFwOFZvaGpXNDlaLWRTVlZv0gFMQVVfeXFMTWplNFRmZEpLakNrRHJlTlNzWm05SkF5WE9ab1huZlJMa2JKVVRRamwwdVEzbkJWQTZ4b3ItRF9ZQTJrMDBBSk9RbnZWSQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-22T11:58:33,TASS Press Releases,Putin calls today's nuclear forces training 'scheduled' - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiREFVX3lxTFA0RE8tcXRMV2VJckNkaFVBWkh6amN2RlVwMks5Rm1fY1F6X1Y4cmw1YmY0QXF5T0xhOXhvZ3htR3FSMGdu0gFKQVVfeXFMUG9xZ3ltT25iWnBDQWxqUVFpVGlIcTk1UFM3NldPX2hGMy1PZHR4cHhabHBaM2loYUVXRkdRYklxYWlvaFd1M3dqY3c?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-21T18:12:07,TASS Press Releases,No immediate plans for Trump’s meeting with Putin — US official - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiSEFVX3lxTE1pQmZzOTVQVDhld0ZWNnpsTnJOTm1CcFFBRUhFdC1LVlJPTUdpVU1wamNOZmlwMTVTNWdPaUlaSHY2Y0NrNkc4aNIBTkFVX3lxTE92ZmlwZkxtRkVxbkJRN0xNMkc4UEpUaHotaWduSnctcTdoZGNaMnpJRnRabXNrWkExZVVfS1RWdHlnZXNMaHVMX2FsTi1UUQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-22T09:50:42,TASS Press Releases,Putin will not attend G20 summit personally — Kremlin spokesman - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiREFVX3lxTE9HaEtKN0VjUDZTQ1l6cC1MbFJuM0tZUENfZ2xrbDFVd1M3Wm9hZFMzQWNrMzNwN01nTERFYWlrQlBtcDA50gFKQVVfeXFMTm5OZk5ZUkN3RTh5STdSbHBrdWRpWlpqYmRpaXlwS0tNWWF6SzZ1VTkyTkxyeHVETXhKcUtLalljYUJFNXIxajVCOHc?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-21T22:11:35,TASS Press Releases,Trump says still in process of deciding whether to meet with Putin - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiSEFVX3lxTFBNSlBOOVpiNmZDTmV1UkZ2Qk1ZSEU5WXU0LTNlSEMtVno3X2EycFp1WDBFZ2Q2OGl5b1duRVZ2QV9idXhMRTJwT9IBTkFVX3lxTFBMalNqLVVwOVBiRG5zbHMxVlNNTnhnRnR0NXI5blZsSEJya2FVWTBmTm1tSkFteWs0bllmVjdHR1RLRnEtRWxTRUgzWmItUQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-21T11:58:41,TASS Press Releases,Sikorski’s threats to Putin and Russia’s position after Alaska summit: Lavrov’s statements - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiREFVX3lxTE9KTk00RFk3RlBxSUhLbm02WWplZGMtOFR0QlU1aXkyMTUtVWI1UWRxQjd2SnlzdThvUGVQdk95aEF6Z2p60gFKQVVfeXFMT3FQODZjRkV3eGpBZkdkeXphM1F2dzh6MEJDYmZ6Qlp2VG1lUkNyS3ZhMUdnN3Z4SDVxb3Z6akpjejdvYzlLVXNWblE?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-20T17:32:34,TASS Press Releases,Bulgaria ready to provide air passage for Russian president’s aircraft — Foreign Ministry - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiREFVX3lxTE1na2JvRlNfeFpEUy1jeEtVOFRIWTlhaDZyNXpWVjJ6U3FNYlBaTWtwNXNOQmZUQlFHRXo2QU1vekt2d1N30gFKQVVfeXFMT0lURVM4eThlV2dFUDlUeThYM29DRFZqNy1yQTF2Mm5IUmhDTXZkMUZ0elV5TlNRaDN0LTN1b2JLdVhNNE94cnFEOWc?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-17T20:21:51,TASS Press Releases,Pentagon chief wears tie in Russian flag colors to Trump-Zelensky meeting - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiSEFVX3lxTE5EQkZUX1ZGYklSRVlZeExjNXB1ZzJMemFsWjNlelkwVk9NVFhHc3J2RTZnUzdBQUZ0UEpZaEU1Y3Atb19hTU8wSNIBTkFVX3lxTE0xNno5UW9QOFo1V2hoVVFFVmVzellBZU9qSnhwNWFadkYweDNURUpRRWJaMXA1M3Z1QUxhSElTVFQwdmlaLU5ET1ZVRWNLUQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-22T07:10:28,TASS Press Releases,FACTBOX: Ukraine stages another nighttime UAV attack - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiREFVX3lxTE9TUHJSWDJrVGRtdXB2RHRXY2JEcE81am9kc1JXV1A5ZzdfM1BYRm5CdzFudnpoVjhCb2VKRTYzZUdSMEVv0gFKQVVfeXFMTmJGdC1UZnJBZ1o0T0NQc09TX0owakYzdF9zRGlXSGk5YWRKdVBzVkJVbXdqZkk2bEZFU3I1bXpxQkVYTVVDdnpXUXc?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-21T15:21:24,TASS Press Releases,Trump is preparing Zelensky for future 'deal' with Russia — senator - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiSEFVX3lxTE9JZVBTUmNXUlVpQ1U1RnJ5eXpVV1JFc0J3aG9aaUE4MTdvU1Nvanc2OVVuVjVudTNaN0t6cHBmUUlKMlFadDNFSNIBTkFVX3lxTE01Q3lDVlROSl9pdy13RFh2N0J4RzdKLWVJYm8tNXd4eWtXNlNadG9rWFJYNDE4TzZ0bHlGcjVOLXpMdGxtZjFvZjc5UTBqZw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-21T12:12:28,TASS Press Releases,Polish threats to security of Putin’s plane show readiness for terrorist attacks — Lavrov - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiREFVX3lxTE9QMy1jWG1FTDg0ZG01bGdVamIySmdobTNuY1Y0YnVHNWxZNEpBM3IzOTZ0bWdBb1Z2MnV6eVFGRkJFRWdU0gFKQVVfeXFMT25ubnl1M09FS1JVMHg2WXh0VF8xQW5aM24tTXN5M05oU1BHeWNuZmdsQ011eHNMQ0o0cGhycWRhWjNidUhFNWMxMnc?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-14T23:51:49,TASS Press Releases,US congresswoman says Russian files on Kennedy’s assassination to be studied by experts - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiSEFVX3lxTFBVNThRN1BJTFhqVzB3Z18wZ3ZFVTViZElOcVRyM054MElYYk1iZEtPV3V3X1hqOG1mX2l0SHZyRDVtb1lKa0xWctIBTkFVX3lxTFA2X2wxNElLZzNBbkpOb2xNX1VUdk5GbG5XTEdKVTFzanNkYVliejJteUM1VVNJS2s3QkpnbTBneVhjMkVwZkEwbUY2ZjluZw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-21T09:20:47,TASS Press Releases,Kiev defies Trump administration's push to resolve Ukraine crisis — Russian intel chief - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiSEFVX3lxTFBmVi02YUpWbWx1UzN3a012S1RFV2xzRTBjQmN2RHl4djRTMmN5U25jdEFqb2dHU1J2SzcyQVo2eVROQ2dYZjF6LdIBTkFVX3lxTFBTZGZULWRyRi1JWDMwWUpuQ19iUzdOZWJSUGxIWWVZY2JNR000dVlPMzltQ25DN3dXVFp5U0hCYXppTTlWUHlRU0NSQWFQQQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-21T17:07:29,TASS Press Releases,DPRK military actively involved in demining Kursk border area — governor - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiSEFVX3lxTFBGOG9mZEhBc2x3QnZGNm9tMjNhbU85NmJmR3E4REl5dWtZR3Y3T19SU3RVeTZkU0RxS1BVdGFEdGttQ3RXc1VFTNIBTkFVX3lxTE1IQnRCNHV5WVZobEVCaTJOVEVfZzFjcnZ1UE9fUWthMU52TmhQbVBNSjE0MDBHa2hTQlBnVTJhY2tPS0VWUHZjanBBNk9zdw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-21T11:01:03,TASS Press Releases,Immediate ceasefire would leave much of Ukraine under Nazi control — Lavrov - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiSEFVX3lxTE9BcmR4MGZrSG10UVFkU2RHbkkzc2w3aXRFYlpqMmZKZlBWb1FQZlNRZl9iaWxVVHY1QjQ1dDl6MUMzNG1ISDVzZdIBTkFVX3lxTE9Tak9oRGl3M2JjRUg1WU9jM0g2Q2x4MWp4ZmRYaElRbllwTHdtMDVya29pLTRGcnJzb2xrSnpMbnJNVFNOUWVDcDF0LVBPdw?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-18T07:00:00,TASS Press Releases,EU seeks to disrupt any peace efforts on Ukraine ahead of Putin-Trump meeting — diplomat - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiREFVX3lxTFBob3I2UDZfaUp1NWVWTFJ4MVZtMDlhaTVmZDV3UkdSQzZWTHJyOG9Cc3dLckg3dEtHMGRnTkpjUFQzVXBB0gFKQVVfeXFMTWRYQ2pLcHNHNmZKdWk0VXkyOVdCaVp2a1BsVzd3eF91ZDJaVTlJUTJnOWp6amVTWDlzcG94eUNGZk5YNy1FNW4wYWc?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-21T08:33:30,TASS Press Releases,US may take radical measures to oust Zelensky — ex-Ukrainian PM - tass.com
TASS Press Releases,https://news.google.com/rss/articles/CBMiSEFVX3lxTE5CQXJscnFmdjlsMVdlLWZBZmF3dGtrbXZ3LUR2TTVzSkJRYzZVX3ZfbV9IdFcyQm8ySFRLbTNhTFYzQ29vQ1A1c9IBTkFVX3lxTE5oTmF5S1RKbTBORktyaURuc0pEREFLM2hDWENTM3BKMlZ3ajROaFRla1pCeXJGcTVwX0VJVWZ2dnFWSjhEX3lOSjU0MWFGUQ?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-20T15:46:31,TASS Press Releases,"Lavrov, Rubio discuss steps to implement understandings reached by Putin, Trump - tass.com"
TASS Press Releases,https://news.google.com/rss/articles/CBMiREFVX3lxTFBjYkJ0Wk9IMFItbk1SOWtjVWlqM3lWczg0MzdUOTBTd05Hai1lVjkwNm91Zmt1Rmh6UlU5emRPWkRMZkx20gFKQVVfeXFMTTBVbDk0azVfT2RiR1M5MGJQZy1sWDl3V1FFQ0N3OWVPY1dFQ0lyeDNIbFBPbnplYTI0b2l1SXVOd2Y5MkdWRUVMQUE?oc=5&hl=en-PK&gl=PK&ceid=PK:en,Russia/Eastern Europe,,,,2025-10-21T07:22:14,TASS Press Releases,EU ambassadors agree proposal to use Russian frozen assets — Politico - tass.com
